model,context_length,topk_context_length,task_id,question_key,q_id,topk_used,needle_rank,answer_metric,evidence_metric,combined_metric,input_tokens,output_tokens
claude-sonnet-4-20250514,400000,70K,0405,twohop,0405_twohop,340,340,1,1,1,20014,28
claude-sonnet-4-20250514,500000,90K,0402Inv,onehop,0402Inv_onehop,422,1,1,1,1,23653,30
claude-sonnet-4-20250514,500000,90K,0402Inv,twohop,0402Inv_twohop,422,28,1,1,1,25002,30
claude-sonnet-4-20250514,500000,90K,0402,onehop,0402_onehop,422,1,1,1,1,23656,30
claude-sonnet-4-20250514,500000,90K,0402,twohop,0402_twohop,422,43,0,0,0,25005,67
claude-sonnet-4-20250514,500000,90K,0405Inv,onehop,0405Inv_onehop,422,7,0,0,0,24504,40
claude-sonnet-4-20250514,500000,90K,0405Inv,twohop,0405Inv_twohop,422,28,0,0,0,25478,66
claude-sonnet-4-20250514,500000,90K,0405,onehop,0405_onehop,422,48,1,1,1,24506,27
claude-sonnet-4-20250514,500000,90K,0405,twohop,0405_twohop,422,422,0,0,0,25480,41
claude-sonnet-4-20250514,600000,100K,0402Inv,onehop,0402Inv_onehop,530,1,1,1,1,30146,30
claude-sonnet-4-20250514,600000,100K,0402Inv,twohop,0402Inv_twohop,530,25,1,1,1,29248,30
claude-sonnet-4-20250514,600000,100K,0402,onehop,0402_onehop,530,1,1,1,1,29975,29
claude-sonnet-4-20250514,600000,100K,0402,twohop,0402_twohop,530,32,1,1,1,29250,29
claude-sonnet-4-20250514,600000,100K,0405Inv,onehop,0405Inv_onehop,530,14,1,1,1,28117,28
claude-sonnet-4-20250514,600000,100K,0405Inv,twohop,0405Inv_twohop,530,40,0,0,0,30999,55
claude-sonnet-4-20250514,600000,100K,0405,onehop,0405_onehop,530,68,1,1,1,28119,89
claude-sonnet-4-20250514,600000,100K,0405,twohop,0405_twohop,530,530,0,0,0,31147,74
claude-sonnet-4-5-20250929,1000000,200K,0402Inv,onehop,0402Inv_onehop,920,1,1,1,1,53776,61
claude-sonnet-4-5-20250929,1000000,200K,0402Inv,twohop,0402Inv_twohop,920,45,1,1,1,51755,37
claude-sonnet-4-5-20250929,1000000,200K,0402,onehop,0402_onehop,920,1,1,1,1,53754,30
claude-sonnet-4-5-20250929,1000000,200K,0402,twohop,0402_twohop,920,56,1,1,1,51759,38
claude-sonnet-4-5-20250929,1000000,200K,0405Inv,onehop,0405Inv_onehop,920,19,1,0,0,52004,253
claude-sonnet-4-5-20250929,1000000,200K,0405Inv,twohop,0405Inv_twohop,920,54,0,0,0,59015,71
claude-sonnet-4-5-20250929,1000000,200K,0405,onehop,0405_onehop,920,104,0,0,0,52006,141
claude-sonnet-4-5-20250929,1000000,200K,0405,twohop,0405_twohop,920,920,1,1,1,59017,77
claude-sonnet-4-5-20250929,200000,50K,0402Inv,onehop,0402Inv_onehop,176,1,1,1,1,11334,29
claude-sonnet-4-5-20250929,200000,50K,0402Inv,twohop,0402Inv_twohop,176,7,1,1,1,10322,67
claude-sonnet-4-5-20250929,200000,50K,0402,onehop,0402_onehop,176,1,1,1,1,11346,29
claude-sonnet-4-5-20250929,200000,50K,0402,twohop,0402_twohop,176,12,1,1,1,10325,92
claude-sonnet-4-5-20250929,200000,50K,0405Inv,onehop,0405Inv_onehop,176,4,1,1,1,10865,63
claude-sonnet-4-5-20250929,200000,50K,0405Inv,twohop,0405Inv_twohop,176,15,1,1,1,12412,79
claude-sonnet-4-5-20250929,200000,50K,0405,onehop,0405_onehop,176,17,1,1,1,10866,35
claude-sonnet-4-5-20250929,200000,50K,0405,twohop,0405_twohop,176,176,1,1,1,12413,36
claude-sonnet-4-5-20250929,400000,70K,0402Inv,onehop,0402Inv_onehop,340,1,1,1,1,18457,30
claude-sonnet-4-5-20250929,400000,70K,0402Inv,twohop,0402Inv_twohop,340,28,1,1,1,18141,69
claude-sonnet-4-5-20250929,400000,70K,0402,onehop,0402_onehop,340,1,1,1,1,18459,29
claude-sonnet-4-5-20250929,400000,70K,0402,twohop,0402_twohop,340,35,1,1,1,18143,89
claude-sonnet-4-5-20250929,400000,70K,0405Inv,onehop,0405Inv_onehop,340,15,1,1,1,19378,62
claude-sonnet-4-5-20250929,400000,70K,0405Inv,twohop,0405Inv_twohop,340,30,1,1,1,20012,67
claude-sonnet-4-5-20250929,400000,70K,0405,onehop,0405_onehop,340,57,0,0,0,19380,89
claude-sonnet-4-5-20250929,400000,70K,0405,twohop,0405_twohop,340,340,1,1,1,20014,37
claude-sonnet-4-5-20250929,500000,90K,0402Inv,onehop,0402Inv_onehop,422,1,1,1,1,23653,30
claude-sonnet-4-5-20250929,500000,90K,0402Inv,twohop,0402Inv_twohop,422,28,1,1,1,25002,81
claude-sonnet-4-5-20250929,500000,90K,0402,onehop,0402_onehop,422,1,1,1,1,23656,30
claude-sonnet-4-5-20250929,500000,90K,0402,twohop,0402_twohop,422,43,1,1,1,25005,85
claude-sonnet-4-5-20250929,500000,90K,0405Inv,onehop,0405Inv_onehop,422,7,0,0,0,24504,51
claude-sonnet-4-5-20250929,500000,90K,0405Inv,twohop,0405Inv_twohop,422,28,0,0,0,25478,41
claude-sonnet-4-5-20250929,500000,90K,0405,onehop,0405_onehop,422,48,1,1,1,24506,64
claude-sonnet-4-5-20250929,500000,90K,0405,twohop,0405_twohop,422,422,1,1,1,25480,66
claude-sonnet-4-5-20250929,600000,100K,0402Inv,onehop,0402Inv_onehop,530,1,1,1,1,30146,30
claude-sonnet-4-5-20250929,600000,100K,0402Inv,twohop,0402Inv_twohop,530,25,1,1,1,29248,38
claude-sonnet-4-5-20250929,600000,100K,0402,onehop,0402_onehop,530,1,1,1,1,29975,29
claude-sonnet-4-5-20250929,600000,100K,0402,twohop,0402_twohop,530,32,1,1,1,29250,83
claude-sonnet-4-5-20250929,600000,100K,0405Inv,onehop,0405Inv_onehop,530,14,1,1,1,28117,33
claude-sonnet-4-5-20250929,600000,100K,0405Inv,twohop,0405Inv_twohop,530,40,0,0,0,30999,75
claude-sonnet-4-5-20250929,600000,100K,0405,onehop,0405_onehop,530,68,1,1,1,28119,93
claude-sonnet-4-5-20250929,600000,100K,0405,twohop,0405_twohop,530,530,0,0,0,31147,160
gpt-4.1,1000000,200K,0402Inv,onehop,0402Inv_onehop,920,1,1,1,1,49003,21
gpt-4.1,1000000,200K,0402Inv,twohop,0402Inv_twohop,920,45,1,1,1,47120,32
gpt-4.1,1000000,200K,0402,onehop,0402_onehop,920,1,1,1,1,48981,22
gpt-4.1,1000000,200K,0402,twohop,0402_twohop,920,56,1,1,1,47124,33
gpt-4.1,1000000,200K,0405Inv,onehop,0405Inv_onehop,920,19,1,1,1,47177,28
gpt-4.1,1000000,200K,0405Inv,twohop,0405Inv_twohop,920,54,0,0,0,53550,18
gpt-4.1,1000000,200K,0405,onehop,0405_onehop,920,104,0,0,0,47179,18
gpt-4.1,1000000,200K,0405,twohop,0405_twohop,920,920,1,1,1,53552,30
gpt-4.1,200000,50K,0402Inv,onehop,0402Inv_onehop,176,1,1,1,1,10370,21
gpt-4.1,200000,50K,0402Inv,twohop,0402Inv_twohop,176,7,1,1,1,9383,21
gpt-4.1,200000,50K,0402,onehop,0402_onehop,176,1,1,1,1,10380,21
gpt-4.1,200000,50K,0402,twohop,0402_twohop,176,12,1,1,1,9386,32
gpt-4.1,200000,50K,0405Inv,onehop,0405Inv_onehop,176,4,0,0,0,9876,18
gpt-4.1,200000,50K,0405Inv,twohop,0405Inv_twohop,176,15,1,1,1,11281,31
gpt-4.1,200000,50K,0405,onehop,0405_onehop,176,17,0,0,0,9877,18
gpt-4.1,200000,50K,0405,twohop,0405_twohop,176,176,1,1,1,11282,37
gpt-4.1,400000,70K,0402Inv,onehop,0402Inv_onehop,340,1,1,1,1,16854,22
gpt-4.1,400000,70K,0402Inv,twohop,0402Inv_twohop,340,28,1,1,1,16565,29
gpt-4.1,400000,70K,0402,onehop,0402_onehop,340,1,1,1,1,16856,21
gpt-4.1,400000,70K,0402,twohop,0402_twohop,340,35,1,1,1,16567,32
gpt-4.1,400000,70K,0405Inv,onehop,0405Inv_onehop,340,15,1,1,1,17601,47
gpt-4.1,400000,70K,0405Inv,twohop,0405Inv_twohop,340,30,1,1,1,18142,31
gpt-4.1,400000,70K,0405,onehop,0405_onehop,340,57,0,0,0,17603,18
gpt-4.1,400000,70K,0405,twohop,0405_twohop,340,340,0,0,0,18144,33
gpt-4.1,500000,90K,0402Inv,onehop,0402Inv_onehop,422,1,1,1,1,21543,34
gpt-4.1,500000,90K,0402Inv,twohop,0402Inv_twohop,422,28,1,1,1,22793,22
gpt-4.1,500000,90K,0402,onehop,0402_onehop,422,1,1,1,1,21546,22
gpt-4.1,500000,90K,0402,twohop,0402_twohop,422,43,1,1,1,22796,47
gpt-4.1,500000,90K,0405Inv,onehop,0405Inv_onehop,422,7,0,0,0,22303,53
gpt-4.1,500000,90K,0405Inv,twohop,0405Inv_twohop,422,28,0,0,0,23146,36
gpt-4.1,500000,90K,0405,onehop,0405_onehop,422,48,0,0,0,22305,57
gpt-4.1,500000,90K,0405,twohop,0405_twohop,422,422,1,1,1,23148,29
gpt-4.1,600000,100K,0402Inv,onehop,0402Inv_onehop,530,1,1,1,1,27533,22
gpt-4.1,600000,100K,0402Inv,twohop,0402Inv_twohop,530,25,1,1,1,26694,33
gpt-4.1,600000,100K,0402,onehop,0402_onehop,530,1,1,1,1,27370,21
gpt-4.1,600000,100K,0402,twohop,0402_twohop,530,32,1,1,1,26696,32
gpt-4.1,600000,100K,0405Inv,onehop,0405Inv_onehop,530,14,1,1,1,25562,32
gpt-4.1,600000,100K,0405Inv,twohop,0405Inv_twohop,530,40,1,1,1,28202,31
gpt-4.1,600000,100K,0405,onehop,0405_onehop,530,68,1,1,1,25564,35
gpt-4.1,600000,100K,0405,twohop,0405_twohop,530,530,0,0,0,28339,18
gpt-4o,1000000,200K,0402Inv,onehop,0402Inv_onehop,920,1,1,1,1,49003,21
gpt-4o,1000000,200K,0402Inv,twohop,0402Inv_twohop,920,45,1,1,1,47120,21
gpt-4o,1000000,200K,0402,onehop,0402_onehop,920,1,1,1,1,48981,22
gpt-4o,1000000,200K,0402,twohop,0402_twohop,920,56,1,1,1,47124,22
gpt-4o,1000000,200K,0405Inv,onehop,0405Inv_onehop,920,19,0,0,0,47177,46
gpt-4o,1000000,200K,0405Inv,twohop,0405Inv_twohop,920,54,0,0,0,53550,21
gpt-4o,1000000,200K,0405,onehop,0405_onehop,920,104,0,0,0,47179,52
gpt-4o,1000000,200K,0405,twohop,0405_twohop,920,920,1,1,1,53552,22
gpt-4o,200000,50K,0402Inv,onehop,0402Inv_onehop,176,1,1,1,1,10370,21
gpt-4o,200000,50K,0402Inv,twohop,0402Inv_twohop,176,7,1,1,1,9383,21
gpt-4o,200000,50K,0402,onehop,0402_onehop,176,1,1,1,1,10380,21
gpt-4o,200000,50K,0402,twohop,0402_twohop,176,12,1,1,1,9386,21
gpt-4o,200000,50K,0405Inv,onehop,0405Inv_onehop,176,4,1,1,1,9876,22
gpt-4o,200000,50K,0405Inv,twohop,0405Inv_twohop,176,15,1,1,1,11281,22
gpt-4o,200000,50K,0405,onehop,0405_onehop,176,17,1,1,1,9877,21
gpt-4o,200000,50K,0405,twohop,0405_twohop,176,176,1,1,1,11282,21
gpt-4o,400000,70K,0402Inv,onehop,0402Inv_onehop,340,1,1,1,1,16854,22
gpt-4o,400000,70K,0402Inv,twohop,0402Inv_twohop,340,28,1,1,1,16565,22
gpt-4o,400000,70K,0402,onehop,0402_onehop,340,1,1,1,1,16856,21
gpt-4o,400000,70K,0402,twohop,0402_twohop,340,35,1,1,1,16567,21
gpt-4o,400000,70K,0405Inv,onehop,0405Inv_onehop,340,15,1,1,1,17601,33
gpt-4o,400000,70K,0405Inv,twohop,0405Inv_twohop,340,30,1,1,1,18142,22
gpt-4o,400000,70K,0405,onehop,0405_onehop,340,57,1,1,1,17603,27
gpt-4o,400000,70K,0405,twohop,0405_twohop,340,340,1,1,1,18144,26
gpt-4o,500000,90K,0402Inv,onehop,0402Inv_onehop,422,1,1,1,1,21543,22
gpt-4o,500000,90K,0402Inv,twohop,0402Inv_twohop,422,28,1,1,1,22793,22
gpt-4o,500000,90K,0402,onehop,0402_onehop,422,1,1,1,1,21546,22
gpt-4o,500000,90K,0402,twohop,0402_twohop,422,43,1,1,1,22796,22
gpt-4o,500000,90K,0405Inv,onehop,0405Inv_onehop,422,7,0,0,0,22303,33
gpt-4o,500000,90K,0405Inv,twohop,0405Inv_twohop,422,28,0,0,0,23146,37
gpt-4o,500000,90K,0405,onehop,0405_onehop,422,48,0,0,0,22305,41
gpt-4o,500000,90K,0405,twohop,0405_twohop,422,422,1,1,1,23148,21
gpt-4o,600000,100K,0402Inv,onehop,0402Inv_onehop,530,1,1,1,1,27533,22
gpt-4o,600000,100K,0402Inv,twohop,0402Inv_twohop,530,25,1,1,1,26694,22
gpt-4o,600000,100K,0402,onehop,0402_onehop,530,1,1,1,1,27370,21
gpt-4o,600000,100K,0402,twohop,0402_twohop,530,32,1,1,1,26696,21
gpt-4o,600000,100K,0405Inv,onehop,0405Inv_onehop,530,14,1,1,1,25562,33
gpt-4o,600000,100K,0405Inv,twohop,0405Inv_twohop,530,40,1,1,1,28202,28
gpt-4o,600000,100K,0405,onehop,0405_onehop,530,68,1,1,1,25564,22
gpt-4o,600000,100K,0405,twohop,0405_twohop,530,530,1,1,1,28339,22
gpt-5-2025-08-07,1000000,200K,0402Inv,onehop,0402Inv_onehop,920,1,1,1,1,49002,218
gpt-5-2025-08-07,1000000,200K,0402Inv,twohop,0402Inv_twohop,920,45,1,1,1,47119,474
gpt-5-2025-08-07,1000000,200K,0402,onehop,0402_onehop,920,1,1,1,1,48980,212
gpt-5-2025-08-07,1000000,200K,0402,twohop,0402_twohop,920,56,1,1,1,47123,475
gpt-5-2025-08-07,1000000,200K,0405Inv,onehop,0405Inv_onehop,920,19,1,1,1,47176,859
gpt-5-2025-08-07,1000000,200K,0405Inv,twohop,0405Inv_twohop,920,54,1,1,1,53549,603
gpt-5-2025-08-07,1000000,200K,0405,onehop,0405_onehop,920,104,1,1,1,47178,347
gpt-5-2025-08-07,1000000,200K,0405,twohop,0405_twohop,920,920,1,1,1,53551,347
gpt-5-2025-08-07,200000,50K,0402Inv,onehop,0402Inv_onehop,176,1,1,1,1,10369,154
gpt-5-2025-08-07,200000,50K,0402Inv,twohop,0402Inv_twohop,176,7,1,1,1,9382,602
gpt-5-2025-08-07,200000,50K,0402,onehop,0402_onehop,176,1,1,1,1,10379,346
gpt-5-2025-08-07,200000,50K,0402,twohop,0402_twohop,176,12,1,1,1,9385,602
gpt-5-2025-08-07,200000,50K,0405Inv,onehop,0405Inv_onehop,176,4,1,1,1,9875,347
gpt-5-2025-08-07,200000,50K,0405Inv,twohop,0405Inv_twohop,176,15,1,1,1,11280,603
gpt-5-2025-08-07,200000,50K,0405,onehop,0405_onehop,176,17,1,1,1,9876,346
gpt-5-2025-08-07,200000,50K,0405,twohop,0405_twohop,176,176,1,1,1,11281,730
gpt-5-2025-08-07,400000,70K,0402Inv,onehop,0402Inv_onehop,340,1,1,1,1,16853,219
gpt-5-2025-08-07,400000,70K,0402Inv,twohop,0402Inv_twohop,340,28,1,1,1,16564,667
gpt-5-2025-08-07,400000,70K,0402,onehop,0402_onehop,340,1,1,1,1,16855,218
gpt-5-2025-08-07,400000,70K,0402,twohop,0402_twohop,340,35,1,1,1,16566,346
gpt-5-2025-08-07,400000,70K,0405Inv,onehop,0405Inv_onehop,340,15,1,1,1,17600,539
gpt-5-2025-08-07,400000,70K,0405Inv,twohop,0405Inv_twohop,340,30,1,1,1,18141,859
gpt-5-2025-08-07,400000,70K,0405,onehop,0405_onehop,340,57,1,1,1,17602,411
gpt-5-2025-08-07,400000,70K,0405,twohop,0405_twohop,340,340,1,1,1,18143,795
gpt-5-2025-08-07,500000,90K,0402Inv,onehop,0402Inv_onehop,422,1,1,1,1,21542,411
gpt-5-2025-08-07,500000,90K,0402Inv,twohop,0402Inv_twohop,422,28,1,1,1,22792,411
gpt-5-2025-08-07,500000,90K,0402,onehop,0402_onehop,422,1,1,1,1,21545,219
gpt-5-2025-08-07,500000,90K,0402,twohop,0402_twohop,422,43,1,1,1,22795,347
gpt-5-2025-08-07,500000,90K,0405Inv,onehop,0405Inv_onehop,422,7,1,1,1,22302,858
gpt-5-2025-08-07,500000,90K,0405Inv,twohop,0405Inv_twohop,422,28,1,1,1,23145,922
gpt-5-2025-08-07,500000,90K,0405,onehop,0405_onehop,422,48,1,1,1,22304,666
gpt-5-2025-08-07,500000,90K,0405,twohop,0405_twohop,422,422,1,1,1,23147,922
gpt-5-2025-08-07,600000,100K,0402Inv,onehop,0402Inv_onehop,530,1,1,1,1,27532,283
gpt-5-2025-08-07,600000,100K,0402Inv,twohop,0402Inv_twohop,530,25,1,1,1,26693,795
gpt-5-2025-08-07,600000,100K,0402,onehop,0402_onehop,530,1,1,1,1,27369,154
gpt-5-2025-08-07,600000,100K,0402,twohop,0402_twohop,530,32,1,1,1,26695,602
gpt-5-2025-08-07,600000,100K,0405Inv,onehop,0405Inv_onehop,530,14,1,1,1,25561,475
gpt-5-2025-08-07,600000,100K,0405Inv,twohop,0405Inv_twohop,530,40,1,1,1,28201,859
gpt-5-2025-08-07,600000,100K,0405,onehop,0405_onehop,530,68,1,1,1,25563,411
gpt-5-2025-08-07,600000,100K,0405,twohop,0405_twohop,530,530,1,1,1,28338,667
o3-mini-2025-01-31,1000000,200K,0402Inv,onehop,0402Inv_onehop,920,1,1,1,1,49002,290
o3-mini-2025-01-31,1000000,200K,0402Inv,twohop,0402Inv_twohop,920,45,1,1,1,47119,482
o3-mini-2025-01-31,1000000,200K,0402,onehop,0402_onehop,920,1,1,1,1,48980,419
o3-mini-2025-01-31,1000000,200K,0402,twohop,0402_twohop,920,56,1,1,1,47123,548
o3-mini-2025-01-31,1000000,200K,0405Inv,onehop,0405Inv_onehop,920,19,1,1,1,47176,1123
o3-mini-2025-01-31,1000000,200K,0405Inv,twohop,0405Inv_twohop,920,54,1,1,1,53549,612
o3-mini-2025-01-31,1000000,200K,0405,onehop,0405_onehop,920,104,0,0,0,47178,1382
o3-mini-2025-01-31,1000000,200K,0405,twohop,0405_twohop,920,920,0,0,0,53551,223
o3-mini-2025-01-31,200000,50K,0402Inv,onehop,0402Inv_onehop,176,1,1,1,1,10369,162
o3-mini-2025-01-31,200000,50K,0402Inv,twohop,0402Inv_twohop,176,7,1,1,1,9382,482
o3-mini-2025-01-31,200000,50K,0402,onehop,0402_onehop,176,1,1,1,1,10379,226
o3-mini-2025-01-31,200000,50K,0402,twohop,0402_twohop,176,12,1,1,1,9385,546
o3-mini-2025-01-31,200000,50K,0405Inv,onehop,0405Inv_onehop,176,4,1,1,1,9875,675
o3-mini-2025-01-31,200000,50K,0405Inv,twohop,0405Inv_twohop,176,15,0,0,0,11280,479
o3-mini-2025-01-31,200000,50K,0405,onehop,0405_onehop,176,17,0,0,0,9876,996
o3-mini-2025-01-31,200000,50K,0405,twohop,0405_twohop,176,176,0,0,0,11281,543
o3-mini-2025-01-31,400000,70K,0402Inv,onehop,0402Inv_onehop,340,1,1,1,1,16853,233
o3-mini-2025-01-31,400000,70K,0402Inv,twohop,0402Inv_twohop,340,28,1,1,1,16564,611
o3-mini-2025-01-31,400000,70K,0402,onehop,0402_onehop,340,1,1,1,1,16855,226
o3-mini-2025-01-31,400000,70K,0402,twohop,0402_twohop,340,35,1,1,1,16566,418
o3-mini-2025-01-31,400000,70K,0405Inv,onehop,0405Inv_onehop,340,15,1,1,1,17600,995
o3-mini-2025-01-31,400000,70K,0405Inv,twohop,0405Inv_twohop,340,30,0,0,0,18141,1055
o3-mini-2025-01-31,400000,70K,0405,onehop,0405_onehop,340,57,0,0,0,17602,1119
o3-mini-2025-01-31,400000,70K,0405,twohop,0405_twohop,340,340,0,0,0,18143,479
o3-mini-2025-01-31,500000,90K,0402Inv,onehop,0402Inv_onehop,422,1,1,1,1,21542,227
o3-mini-2025-01-31,500000,90K,0402Inv,twohop,0402Inv_twohop,422,28,1,1,1,22792,554
o3-mini-2025-01-31,500000,90K,0402,onehop,0402_onehop,422,1,1,1,1,21545,355
o3-mini-2025-01-31,500000,90K,0402,twohop,0402_twohop,422,43,0,0,0,22795,287
o3-mini-2025-01-31,500000,90K,0405Inv,onehop,0405Inv_onehop,422,7,1,1,1,22302,610
o3-mini-2025-01-31,500000,90K,0405Inv,twohop,0405Inv_twohop,422,28,0,0,0,23145,607
o3-mini-2025-01-31,500000,90K,0405,onehop,0405_onehop,422,48,1,1,1,22304,1186
o3-mini-2025-01-31,500000,90K,0405,twohop,0405_twohop,422,422,0,0,0,23147,351
o3-mini-2025-01-31,600000,100K,0402Inv,onehop,0402Inv_onehop,530,1,1,1,1,27532,291
o3-mini-2025-01-31,600000,100K,0402Inv,twohop,0402Inv_twohop,530,25,1,1,1,26693,483
o3-mini-2025-01-31,600000,100K,0402,onehop,0402_onehop,530,1,1,1,1,27369,290
o3-mini-2025-01-31,600000,100K,0402,twohop,0402_twohop,530,32,1,1,1,26695,802
o3-mini-2025-01-31,600000,100K,0405Inv,onehop,0405Inv_onehop,530,14,1,1,1,25561,1828
o3-mini-2025-01-31,600000,100K,0405Inv,twohop,0405Inv_twohop,530,40,0,0,0,28201,543
o3-mini-2025-01-31,600000,100K,0405,onehop,0405_onehop,530,68,0,0,0,25563,927
o3-mini-2025-01-31,600000,100K,0405,twohop,0405_twohop,530,530,0,0,0,28338,543
